,Problem size,1X MRPS,1X Evaluation Call,UX MRPS,UX Evaluation Call
0,10,15.6 (4.54),110.32 (32.07),13.6 (3.2),86.36 (30.76)
1,20,39.6 (6.69),443.0 (89.83),20.4 (3.51),200.0 (51.38)
2,40,152.8 (22.73),2580.0 (316.43),39.0 (4.67),557.6 (68.36)
3,80,412.8 (34.85),11097.6 (959.02),72.8 (4.19),1436.4 (73.54)
4,160,2112.0 (100.43),84940.8 (3957.7),114.4 (5.14),3333.6 (127.61)
